Provincias;Meses;Total
Albacete;Enero;..
Albacete;Febrero;..
Albacete;Marzo;39
Albacete;Abril;55
Albacete;Mayo;51
Albacete;Junio;48
Albacete;Julio;86
Albacete;Agosto;86
Albacete;Septiembre;67
Albacete;Octubre;46
Albacete;Noviembre;12
Albacete;Diciembre;..
Alicante/Alacant;Enero;627
Alicante/Alacant;Febrero;627
Alicante/Alacant;Marzo;639
Alicante/Alacant;Abril;1.249
Alicante/Alacant;Mayo;1.260
Alicante/Alacant;Junio;1.329
Alicante/Alacant;Julio;1.352
Alicante/Alacant;Agosto;1.332
Alicante/Alacant;Septiembre;1.268
Alicante/Alacant;Octubre;1.225
Alicante/Alacant;Noviembre;1.005
Alicante/Alacant;Diciembre;585
Almería;Enero;146
Almería;Febrero;138
Almería;Marzo;147
Almería;Abril;161
Almería;Mayo;160
Almería;Junio;195
Almería;Julio;217
Almería;Agosto;232
Almería;Septiembre;168
Almería;Octubre;149
Almería;Noviembre;142
Almería;Diciembre;143
Araba/Álava;Enero;..
Araba/Álava;Febrero;..
Araba/Álava;Marzo;33
Araba/Álava;Abril;55
Araba/Álava;Mayo;57
Araba/Álava;Junio;128
Araba/Álava;Julio;69
Araba/Álava;Agosto;74
Araba/Álava;Septiembre;73
Araba/Álava;Octubre;56
Araba/Álava;Noviembre;49
Araba/Álava;Diciembre;..
Asturias;Enero;..
Asturias;Febrero;.
Asturias;Marzo;.
Asturias;Abril;138
Asturias;Mayo;126
Asturias;Junio;292
Asturias;Julio;501
Asturias;Agosto;518
Asturias;Septiembre;237
Asturias;Octubre;59
Asturias;Noviembre;23
Asturias;Diciembre;.
Ávila;Enero;10
Ávila;Febrero;.
Ávila;Marzo;18
Ávila;Abril;18
Ávila;Mayo;25
Ávila;Junio;35
Ávila;Julio;61
Ávila;Agosto;66
Ávila;Septiembre;31
Ávila;Octubre;18
Ávila;Noviembre;11
Ávila;Diciembre;.
Balears, Illes;Enero;..
Balears, Illes;Febrero;..
Balears, Illes;Marzo;..
Balears, Illes;Abril;..
Balears, Illes;Mayo;106
Balears, Illes;Junio;131
Balears, Illes;Julio;152
Balears, Illes;Agosto;155
Balears, Illes;Septiembre;140
Balears, Illes;Octubre;70
Balears, Illes;Noviembre;..
Balears, Illes;Diciembre;..
Barcelona;Enero;189
Barcelona;Febrero;202
Barcelona;Marzo;284
Barcelona;Abril;483
Barcelona;Mayo;526
Barcelona;Junio;633
Barcelona;Julio;810
Barcelona;Agosto;842
Barcelona;Septiembre;655
Barcelona;Octubre;396
Barcelona;Noviembre;283
Barcelona;Diciembre;230
Bizkaia;Enero;..
Bizkaia;Febrero;.
Bizkaia;Marzo;23
Bizkaia;Abril;39
Bizkaia;Mayo;37
Bizkaia;Junio;53
Bizkaia;Julio;89
Bizkaia;Agosto;102
Bizkaia;Septiembre;51
Bizkaia;Octubre;35
Bizkaia;Noviembre;17
Bizkaia;Diciembre;.
Burgos;Enero;12
Burgos;Febrero;10
Burgos;Marzo;21
Burgos;Abril;44
Burgos;Mayo;40
Burgos;Junio;63
Burgos;Julio;75
Burgos;Agosto;77
Burgos;Septiembre;62
Burgos;Octubre;37
Burgos;Noviembre;32
Burgos;Diciembre;19
Cáceres;Enero;63
Cáceres;Febrero;65
Cáceres;Marzo;88
Cáceres;Abril;139
Cáceres;Mayo;133
Cáceres;Junio;154
Cáceres;Julio;218
Cáceres;Agosto;220
Cáceres;Septiembre;135
Cáceres;Octubre;82
Cáceres;Noviembre;63
Cáceres;Diciembre;65
Cádiz;Enero;149
Cádiz;Febrero;156
Cádiz;Marzo;209
Cádiz;Abril;286
Cádiz;Mayo;284
Cádiz;Junio;348
Cádiz;Julio;468
Cádiz;Agosto;535
Cádiz;Septiembre;406
Cádiz;Octubre;285
Cádiz;Noviembre;200
Cádiz;Diciembre;181
Cantabria;Enero;24
Cantabria;Febrero;25
Cantabria;Marzo;36
Cantabria;Abril;224
Cantabria;Mayo;213
Cantabria;Junio;508
Cantabria;Julio;578
Cantabria;Agosto;621
Cantabria;Septiembre;384
Cantabria;Octubre;83
Cantabria;Noviembre;23
Cantabria;Diciembre;8
Castellón/Castelló;Enero;264
Castellón/Castelló;Febrero;265
Castellón/Castelló;Marzo;272
Castellón/Castelló;Abril;347
Castellón/Castelló;Mayo;309
Castellón/Castelló;Junio;378
Castellón/Castelló;Julio;461
Castellón/Castelló;Agosto;477
Castellón/Castelló;Septiembre;351
Castellón/Castelló;Octubre;322
Castellón/Castelló;Noviembre;300
Castellón/Castelló;Diciembre;308
Ciudad Real;Enero;.
Ciudad Real;Febrero;19
Ciudad Real;Marzo;24
Ciudad Real;Abril;30
Ciudad Real;Mayo;34
Ciudad Real;Junio;34
Ciudad Real;Julio;36
Ciudad Real;Agosto;38
Ciudad Real;Septiembre;39
Ciudad Real;Octubre;36
Ciudad Real;Noviembre;33
Ciudad Real;Diciembre;.
Córdoba;Enero;24
Córdoba;Febrero;23
Córdoba;Marzo;27
Córdoba;Abril;35
Córdoba;Mayo;43
Córdoba;Junio;45
Córdoba;Julio;53
Córdoba;Agosto;45
Córdoba;Septiembre;50
Córdoba;Octubre;40
Córdoba;Noviembre;32
Córdoba;Diciembre;28
Coruña, A;Enero;38
Coruña, A;Febrero;49
Coruña, A;Marzo;50
Coruña, A;Abril;75
Coruña, A;Mayo;98
Coruña, A;Junio;175
Coruña, A;Julio;276
Coruña, A;Agosto;278
Coruña, A;Septiembre;145
Coruña, A;Octubre;71
Coruña, A;Noviembre;56
Coruña, A;Diciembre;56
Cuenca;Enero;..
Cuenca;Febrero;8
Cuenca;Marzo;23
Cuenca;Abril;22
Cuenca;Mayo;20
Cuenca;Junio;29
Cuenca;Julio;33
Cuenca;Agosto;34
Cuenca;Septiembre;21
Cuenca;Octubre;15
Cuenca;Noviembre;9
Cuenca;Diciembre;..
Gipuzkoa;Enero;19
Gipuzkoa;Febrero;17
Gipuzkoa;Marzo;53
Gipuzkoa;Abril;65
Gipuzkoa;Mayo;78
Gipuzkoa;Junio;107
Gipuzkoa;Julio;156
Gipuzkoa;Agosto;161
Gipuzkoa;Septiembre;118
Gipuzkoa;Octubre;98
Gipuzkoa;Noviembre;54
Gipuzkoa;Diciembre;30
Girona;Enero;137
Girona;Febrero;155
Girona;Marzo;335
Girona;Abril;1.097
Girona;Mayo;1.781
Girona;Junio;2.979
Girona;Julio;3.479
Girona;Agosto;3.739
Girona;Septiembre;2.145
Girona;Octubre;615
Girona;Noviembre;248
Girona;Diciembre;177
Granada;Enero;104
Granada;Febrero;101
Granada;Marzo;113
Granada;Abril;126
Granada;Mayo;124
Granada;Junio;158
Granada;Julio;169
Granada;Agosto;183
Granada;Septiembre;151
Granada;Octubre;131
Granada;Noviembre;120
Granada;Diciembre;115
Guadalajara;Enero;..
Guadalajara;Febrero;..
Guadalajara;Marzo;..
Guadalajara;Abril;21
Guadalajara;Mayo;21
Guadalajara;Junio;24
Guadalajara;Julio;31
Guadalajara;Agosto;27
Guadalajara;Septiembre;20
Guadalajara;Octubre;11
Guadalajara;Noviembre;13
Guadalajara;Diciembre;..
Huelva;Enero;95
Huelva;Febrero;112
Huelva;Marzo;143
Huelva;Abril;171
Huelva;Mayo;195
Huelva;Junio;.
Huelva;Julio;333
Huelva;Agosto;362
Huelva;Septiembre;248
Huelva;Octubre;176
Huelva;Noviembre;134
Huelva;Diciembre;.
Huesca;Enero;102
Huesca;Febrero;106
Huesca;Marzo;139
Huesca;Abril;270
Huesca;Mayo;296
Huesca;Junio;369
Huesca;Julio;575
Huesca;Agosto;577
Huesca;Septiembre;390
Huesca;Octubre;205
Huesca;Noviembre;111
Huesca;Diciembre;93
Jaén;Enero;15
Jaén;Febrero;14
Jaén;Marzo;25
Jaén;Abril;57
Jaén;Mayo;60
Jaén;Junio;.
Jaén;Julio;111
Jaén;Agosto;104
Jaén;Septiembre;59
Jaén;Octubre;56
Jaén;Noviembre;30
Jaén;Diciembre;.
León;Enero;..
León;Febrero;..
León;Marzo;14
León;Abril;21
León;Mayo;29
León;Junio;77
León;Julio;112
León;Agosto;126
León;Septiembre;59
León;Octubre;26
León;Noviembre;.
León;Diciembre;12
Lleida;Enero;109
Lleida;Febrero;120
Lleida;Marzo;129
Lleida;Abril;179
Lleida;Mayo;174
Lleida;Junio;241
Lleida;Julio;324
Lleida;Agosto;359
Lleida;Septiembre;215
Lleida;Octubre;128
Lleida;Noviembre;101
Lleida;Diciembre;93
Lugo;Enero;.
Lugo;Febrero;.
Lugo;Marzo;.
Lugo;Abril;22
Lugo;Mayo;21
Lugo;Junio;46
Lugo;Julio;55
Lugo;Agosto;54
Lugo;Septiembre;33
Lugo;Octubre;.
Lugo;Noviembre;10
Lugo;Diciembre;10
Madrid;Enero;244
Madrid;Febrero;233
Madrid;Marzo;254
Madrid;Abril;280
Madrid;Mayo;287
Madrid;Junio;304
Madrid;Julio;335
Madrid;Agosto;344
Madrid;Septiembre;307
Madrid;Octubre;279
Madrid;Noviembre;256
Madrid;Diciembre;252
Málaga;Enero;199
Málaga;Febrero;229
Málaga;Marzo;238
Málaga;Abril;246
Málaga;Mayo;256
Málaga;Junio;282
Málaga;Julio;285
Málaga;Agosto;298
Málaga;Septiembre;272
Málaga;Octubre;252
Málaga;Noviembre;299
Málaga;Diciembre;246
Murcia;Enero;195
Murcia;Febrero;191
Murcia;Marzo;205
Murcia;Abril;209
Murcia;Mayo;205
Murcia;Junio;248
Murcia;Julio;297
Murcia;Agosto;294
Murcia;Septiembre;214
Murcia;Octubre;213
Murcia;Noviembre;211
Murcia;Diciembre;203
Navarra;Enero;50
Navarra;Febrero;65
Navarra;Marzo;105
Navarra;Abril;171
Navarra;Mayo;168
Navarra;Junio;200
Navarra;Julio;284
Navarra;Agosto;289
Navarra;Septiembre;181
Navarra;Octubre;133
Navarra;Noviembre;75
Navarra;Diciembre;37
Ourense;Enero;..
Ourense;Febrero;..
Ourense;Marzo;..
Ourense;Abril;4
Ourense;Mayo;4
Ourense;Junio;12
Ourense;Julio;18
Ourense;Agosto;16
Ourense;Septiembre;12
Ourense;Octubre;..
Ourense;Noviembre;..
Ourense;Diciembre;..
Palencia;Enero;.
Palencia;Febrero;.
Palencia;Marzo;.
Palencia;Abril;.
Palencia;Mayo;.
Palencia;Junio;.
Palencia;Julio;.
Palencia;Agosto;.
Palencia;Septiembre;.
Palencia;Octubre;.
Palencia;Noviembre;.
Palencia;Diciembre;.
Pontevedra;Enero;13
Pontevedra;Febrero;12
Pontevedra;Marzo;20
Pontevedra;Abril;76
Pontevedra;Mayo;63
Pontevedra;Junio;243
Pontevedra;Julio;507
Pontevedra;Agosto;521
Pontevedra;Septiembre;282
Pontevedra;Octubre;22
Pontevedra;Noviembre;.
Pontevedra;Diciembre;.
Rioja, La;Enero;.
Rioja, La;Febrero;60
Rioja, La;Marzo;60
Rioja, La;Abril;.
Rioja, La;Mayo;76
Rioja, La;Junio;83
Rioja, La;Julio;111
Rioja, La;Agosto;120
Rioja, La;Septiembre;91
Rioja, La;Octubre;84
Rioja, La;Noviembre;80
Rioja, La;Diciembre;40
Salamanca;Enero;..
Salamanca;Febrero;8
Salamanca;Marzo;33
Salamanca;Abril;40
Salamanca;Mayo;45
Salamanca;Junio;68
Salamanca;Julio;78
Salamanca;Agosto;92
Salamanca;Septiembre;69
Salamanca;Octubre;30
Salamanca;Noviembre;18
Salamanca;Diciembre;..
