Provincias;País de residencia;Meses;Total
Albacete;Total;Total;153.550
Albacete;Total;Enero;..
Albacete;Total;Febrero;..
Albacete;Total;Marzo;3.691
Albacete;Total;Abril;17.876
Albacete;Total;Mayo;6.678
Albacete;Total;Junio;9.929
Albacete;Total;Julio;34.975
Albacete;Total;Agosto;53.768
Albacete;Total;Septiembre;9.364
Albacete;Total;Octubre;10.348
Albacete;Total;Noviembre;3.396
Albacete;Total;Diciembre;..
Albacete;Españoles;Total;148.959
Albacete;Españoles;Enero;..
Albacete;Españoles;Febrero;..
Albacete;Españoles;Marzo;3.344
Albacete;Españoles;Abril;17.391
Albacete;Españoles;Mayo;5.883
Albacete;Españoles;Junio;9.128
Albacete;Españoles;Julio;34.210
Albacete;Españoles;Agosto;53.120
Albacete;Españoles;Septiembre;9.026
Albacete;Españoles;Octubre;9.936
Albacete;Españoles;Noviembre;3.396
Albacete;Españoles;Diciembre;..
Albacete;Extranjeros;Total;4.591
Albacete;Extranjeros;Enero;..
Albacete;Extranjeros;Febrero;..
Albacete;Extranjeros;Marzo;347
Albacete;Extranjeros;Abril;485
Albacete;Extranjeros;Mayo;795
Albacete;Extranjeros;Junio;801
Albacete;Extranjeros;Julio;765
Albacete;Extranjeros;Agosto;648
Albacete;Extranjeros;Septiembre;338
Albacete;Extranjeros;Octubre;412
Albacete;Extranjeros;Noviembre;0
Albacete;Extranjeros;Diciembre;..
Albacete;Unión Europea 27 (sin España);Total;3.424
Albacete;Unión Europea 27 (sin España);Enero;..
Albacete;Unión Europea 27 (sin España);Febrero;..
Albacete;Unión Europea 27 (sin España);Marzo;280
Albacete;Unión Europea 27 (sin España);Abril;363
Albacete;Unión Europea 27 (sin España);Mayo;625
Albacete;Unión Europea 27 (sin España);Junio;636
Albacete;Unión Europea 27 (sin España);Julio;426
Albacete;Unión Europea 27 (sin España);Agosto;549
Albacete;Unión Europea 27 (sin España);Septiembre;210
Albacete;Unión Europea 27 (sin España);Octubre;336
Albacete;Unión Europea 27 (sin España);Noviembre;0
Albacete;Unión Europea 27 (sin España);Diciembre;..
Albacete;Alemania;Total;984
Albacete;Alemania;Enero;..
Albacete;Alemania;Febrero;..
Albacete;Alemania;Marzo;127
Albacete;Alemania;Abril;182
Albacete;Alemania;Mayo;118
Albacete;Alemania;Junio;229
Albacete;Alemania;Julio;17
Albacete;Alemania;Agosto;115
Albacete;Alemania;Septiembre;58
Albacete;Alemania;Octubre;137
Albacete;Alemania;Noviembre;0
Albacete;Alemania;Diciembre;..
Albacete;Austria;Total;..
Albacete;Austria;Enero;..
Albacete;Austria;Febrero;..
Albacete;Austria;Marzo;0
Albacete;Austria;Abril;..
Albacete;Austria;Mayo;0
