Provincias;Meses;Total
02 Albacete;Enero;1.181
02 Albacete;Febrero;1.196
02 Albacete;Marzo;1.171
02 Albacete;Abril;1.290
02 Albacete;Mayo;1.181
02 Albacete;Junio;1.228
02 Albacete;Julio;1.335
02 Albacete;Agosto;1.315
02 Albacete;Septiembre;1.244
02 Albacete;Octubre;1.226
02 Albacete;Noviembre;1.144
02 Albacete;Diciembre;1.163
03 Alicante/Alacant;Enero;278
03 Alicante/Alacant;Febrero;293
03 Alicante/Alacant;Marzo;287
03 Alicante/Alacant;Abril;280
03 Alicante/Alacant;Mayo;279
03 Alicante/Alacant;Junio;276
03 Alicante/Alacant;Julio;286
03 Alicante/Alacant;Agosto;300
03 Alicante/Alacant;Septiembre;301
03 Alicante/Alacant;Octubre;308
03 Alicante/Alacant;Noviembre;292
03 Alicante/Alacant;Diciembre;286
04 Almería;Enero;177
04 Almería;Febrero;190
04 Almería;Marzo;209
04 Almería;Abril;218
04 Almería;Mayo;237
04 Almería;Junio;255
04 Almería;Julio;264
04 Almería;Agosto;273
04 Almería;Septiembre;231
04 Almería;Octubre;221
04 Almería;Noviembre;216
04 Almería;Diciembre;211
01 Araba/Álava;Enero;111
01 Araba/Álava;Febrero;104
01 Araba/Álava;Marzo;119
01 Araba/Álava;Abril;121
01 Araba/Álava;Mayo;121
01 Araba/Álava;Junio;119
01 Araba/Álava;Julio;126
01 Araba/Álava;Agosto;127
01 Araba/Álava;Septiembre;123
01 Araba/Álava;Octubre;121
01 Araba/Álava;Noviembre;118
01 Araba/Álava;Diciembre;121
33 Asturias;Enero;1.300
33 Asturias;Febrero;1.326
33 Asturias;Marzo;1.330
33 Asturias;Abril;1.826
33 Asturias;Mayo;1.794
33 Asturias;Junio;1.836
33 Asturias;Julio;2.200
33 Asturias;Agosto;2.215
33 Asturias;Septiembre;1.924
33 Asturias;Octubre;1.802
33 Asturias;Noviembre;1.381
33 Asturias;Diciembre;1.458
05 Ávila;Enero;880
05 Ávila;Febrero;917
05 Ávila;Marzo;949
05 Ávila;Abril;964
05 Ávila;Mayo;989
05 Ávila;Junio;968
05 Ávila;Julio;958
05 Ávila;Agosto;1.006
05 Ávila;Septiembre;978
05 Ávila;Octubre;919
05 Ávila;Noviembre;919
05 Ávila;Diciembre;914
06 Badajoz;Enero;297
06 Badajoz;Febrero;322
